,0,1,2,3,4
0,0.0,0.0,0.0,0.0,0.0
1,0.99,0.0,0.0,0.0,0.0
2,0.981,0.972,0.0,0.0,0.0
3,1.0,0.99,0.981,0.0,0.0
4,0.99,1.0,0.972,0.99,0.0
